OLS_lD,OLS_α,GLS_lD,GLS_α
-3.1479552567517946,0.5554345514582728,-3.1579445587182833,0.5442017066021246
-3.9500399605752836,0.045586085611535765,-3.9702878175078204,0.023319872907574545
-3.4032409322674777,0.5040012355989454,-3.324578654835835,0.6171992623081117
-2.564436822393885,0.651988638535407,-2.6413620746624438,0.5703682388298791
-2.403286062866563,0.7192611675288152,-2.335715230811212,0.7861392217901034
-4.263760889907493,0.044390405908277586,-4.285551746701223,0.02226790033600607
-2.328723273720609,0.7185418421394925,-2.1857182085588205,0.8879231295832725
-4.156734695309735,0.04160122579115111,-4.143323287949635,0.046649457610395365
-2.2553580955871286,0.9678955546943477,-2.2093475010322066,1.0275577474900126
-4.156301942408119,0.13902954902815168,-4.134721038226922,0.1611176416484955
-3.0098488108068757,0.3350276310764997,-2.9386415032495887,0.41580077735764254
-2.063791071247122,0.6417240625912548,-2.080047373068154,0.6651709621421795
-2.13110184409188,0.4856406804671849,-2.001236217276496,0.6765201994890766
-3.787214326526044,0.11740162323804171,-3.7851687068724664,0.1368532703149537
-2.2224072222953977,0.5705320676002508,-2.0914285831320836,0.7756398354243588
-4.210483206159266,0.008677355458583946,-4.2168132672042224,0.01878789848833313
-2.498662146951146,0.9358849348004501,-2.539967044120291,0.8869130163691622
-3.0141447183974908,0.5629774537388634,-3.0549871680572553,0.547203925238986
-3.8485609971647836,0.10723312914874583,-3.7830596229465354,0.18057738599462245
-2.6227243916304275,0.800364535099483,-2.574622860423597,0.8663012643028605
-4.052751588238271,0.009256545073931477,-4.00800966367995,0.05661126796786392
-4.365688978619872,0.058868790587990105,-4.307809662159213,0.11757131292435248
-3.780884055778202,0.08252108050187701,-3.800090243592973,0.07484516293534295
-4.198957750399602,0.01795209224796679,-4.199522716325383,0.014077646960668835
-3.416691107360519,0.3808361866855279,-3.490423365020823,0.3293420064418823
-4.045008005501188,0.08906356156143147,-4.0536238179040955,0.06354269813504443
-2.0013811620367834,0.7872982666826456,-1.9641666748231854,0.8416559329370752
-4.123329263829298,0.005902037413441974,-4.085749789368394,0.04687448732069708
-2.905127581201839,0.4911688940649981,-2.852398883579644,0.5817403823528875
-4.013617064880696,0.06379840706525286,-3.9963536241149953,0.09651513352410307
-4.089658051115338,0.037907099141509804,-4.077394847469595,0.052713081331936064
-3.3313460679113263,0.44359515155582585,-3.394320596485003,0.3949989758410996
-3.838535856023954,0.12385202565198483,-3.867721655386642,0.0884929953678905
-4.495951488613381,0.16676103795511565,-4.488194037206001,0.1688319327764533
-1.9540218771238296,0.7619562920032497,-1.9086165268312327,0.8461123258993981
-4.047317892631357,0.1015426599165572,-4.0263284027927035,0.12183128386302634
-4.07607618542777,0.005252825249183246,-4.042389018965689,0.04108615509414357
-2.0600591596234406,0.9133522022839387,-2.006637340569222,0.9690142534026885
-2.1325340972094793,0.921982511584492,-2.2520262827181803,0.8103744325780324
-3.8568687638832078,0.20913327603327758,-3.8960428423927014,0.15958181830674914
-3.782878316947512,0.038290062602190034,-3.789108644229951,0.0310573781796505
